2022-03-06 04:29:10 status half-installed bash:amd64 5.1-2+b3
2022-03-06 04:29:10 status unpacked bash:amd64 5.1-2+b3
2022-03-06 04:29:10 install libbz2-1.0:amd64 <none> 1.0.8-4
2022-03-06 04:29:10 status half-installed libbz2-1.0:amd64 1.0.8-4
2022-03-06 04:29:10 status unpacked libbz2-1.0:amd64 1.0.8-4
2022-03-06 04:29:10 install libdebconfclient0:amd64 <none> 0.260
2022-03-06 04:29:10 status half-installed libdebconfclient0:amd64 0.260
2022-03-06 04:29:10 status unpacked libdebconfclient0:amd64 0.260
2022-03-06 04:29:10 install coreutils:amd64 <none> 8.32-4+b1
2022-03-06 04:29:10 status half-installed coreutils:amd64 8.32-4+b1
2022-03-06 04:29:11 status unpacked coreutils:amd64 8.32-4+b1
2022-03-06 04:29:11 install dash:amd64 <none> 0.5.11+git20200708+dd9ef66-5
2022-03-06 04:29:11 status half-installed dash:amd64 0.5.11+git20200708+dd9ef66-5
2022-03-06 04:29:11 status unpacked dash:amd64 0.5.11+git20200708+dd9ef66-5
2022-03-06 04:29:11 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8
2022-03-06 04:29:11 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8
2022-03-06 04:29:11 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8
2022-03-06 04:29:11 upgrade debconf:all 1.5.77 1.5.77
2022-03-06 04:29:11 status half-configured debconf:all 1.5.77
2022-03-06 04:29:11 status unpacked debconf:all 1.5.77
2022-03-06 04:29:11 status half-installed debconf:all 1.5.77
2022-03-06 04:29:11 status unpacked debconf:all 1.5.77
2022-03-06 04:29:11 install debian-archive-keyring:all <none> 2021.1.1
2022-03-06 04:29:11 status half-installed debian-archive-keyring:all 2021.1.1
2022-03-06 04:29:11 status unpacked debian-archive-keyring:all 2021.1.1
2022-03-06 04:29:11 install debianutils:amd64 <none> 4.11.2
2022-03-06 04:29:11 status half-installed debianutils:amd64 4.11.2
2022-03-06 04:29:11 status unpacked debianutils:amd64 4.11.2
2022-03-06 04:29:11 install diffutils:amd64 <none> 1:3.7-5
2022-03-06 04:29:11 status half-installed diffutils:amd64 1:3.7-5
2022-03-06 04:29:11 status unpacked diffutils:amd64 1:3.7-5
2022-03-06 04:29:11 upgrade dpkg:amd64 1.20.9 1.20.9
2022-03-06 04:29:11 status half-configured dpkg:amd64 1.20.9
2022-03-06 04:29:11 status unpacked dpkg:amd64 1.20.9
2022-03-06 04:29:11 status half-installed dpkg:amd64 1.20.9
2022-03-06 04:29:11 status unpacked dpkg:amd64 1.20.9
2022-03-06 04:29:11 install e2fsprogs:amd64 <none> 1.46.2-2
2022-03-06 04:29:11 status half-installed e2fsprogs:amd64 1.46.2-2
2022-03-06 04:29:11 status unpacked e2fsprogs:amd64 1.46.2-2
2022-03-06 04:29:11 install libcom-err2:amd64 <none> 1.46.2-2
2022-03-06 04:29:11 status half-installed libcom-err2:amd64 1.46.2-2
2022-03-06 04:29:11 status unpacked libcom-err2:amd64 1.46.2-2
2022-03-06 04:29:11 install libext2fs2:amd64 <none> 1.46.2-2
2022-03-06 04:29:11 status half-installed libext2fs2:amd64 1.46.2-2
2022-03-06 04:29:11 status unpacked libext2fs2:amd64 1.46.2-2
2022-03-06 04:29:11 install libss2:amd64 <none> 1.46.2-2
2022-03-06 04:29:11 status half-installed libss2:amd64 1.46.2-2
2022-03-06 04:29:11 status unpacked libss2:amd64 1.46.2-2
2022-03-06 04:29:11 install logsave:amd64 <none> 1.46.2-2
2022-03-06 04:29:11 status half-installed logsave:amd64 1.46.2-2
2022-03-06 04:29:11 status unpacked logsave:amd64 1.46.2-2
2022-03-06 04:29:11 install findutils:amd64 <none> 4.8.0-1
2022-03-06 04:29:11 status half-installed findutils:amd64 4.8.0-1
2022-03-06 04:29:12 status unpacked findutils:amd64 4.8.0-1
2022-03-06 04:29:12 install gcc-10-base:amd64 <none> 10.2.1-6
2022-03-06 04:29:12 status half-installed gcc-10-base:amd64 10.2.1-6
2022-03-06 04:29:12 status unpacked gcc-10-base:amd64 10.2.1-6
2022-03-06 04:29:12 install libgcc-s1:amd64 <none> 10.2.1-6
2022-03-06 04:29:12 status half-installed libgcc-s1:amd64 10.2.1-6
2022-03-06 04:29:12 status unpacked libgcc-s1:amd64 10.2.1-6
2022-03-06 04:29:12 install libstdc++6:amd64 <none> 10.2.1-6
2022-03-06 04:29:12 status half-installed libstdc++6:amd64 10.2.1-6
2022-03-06 04:29:12 status unpacked libstdc++6:amd64 10.2.1-6
2022-03-06 04:29:12 install gcc-9-base:amd64 <none> 9.3.0-22
2022-03-06 04:29:12 status half-installed gcc-9-base:amd64 9.3.0-22
2022-03-06 04:29:12 status unpacked gcc-9-base:amd64 9.3.0-22
2022-03-06 04:29:12 install libc-bin:amd64 <none> 2.31-13+deb11u2
2022-03-06 04:29:12 status half-installed libc-bin:amd64 2.31-13+deb11u2
2022-03-06 04:29:12 status unpacked libc-bin:amd64 2.31-13+deb11u2
2022-03-06 04:29:12 upgrade libc6:amd64 2.31-13+deb11u2 2.31-13+deb11u2
2022-03-06 04:29:12 status half-configured libc6:amd64 2.31-13+deb11u2
2022-03-06 04:29:12 status unpacked libc6:amd64 2.31-13+deb11u2
2022-03-06 04:29:12 status half-installed libc6:amd64 2.31-13+deb11u2
2022-03-06 04:29:12 status unpacked libc6:amd64 2.31-13+deb11u2
2022-03-06 04:29:12 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1+deb11u1
2022-03-06 04:29:12 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2022-03-06 04:29:12 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2022-03-06 04:29:12 install gpgv:amd64 <none> 2.2.27-2
2022-03-06 04:29:12 status half-installed gpgv:amd64 2.2.27-2
2022-03-06 04:29:12 status unpacked gpgv:amd64 2.2.27-2
2022-03-06 04:29:12 install libgnutls30:amd64 <none> 3.7.1-5
2022-03-06 04:29:12 status half-installed libgnutls30:amd64 3.7.1-5
2022-03-06 04:29:13 status unpacked libgnutls30:amd64 3.7.1-5
2022-03-06 04:29:13 install grep:amd64 <none> 3.6-1
2022-03-06 04:29:13 status half-installed grep:amd64 3.6-1
2022-03-06 04:29:13 status unpacked grep:amd64 3.6-1
2022-03-06 04:29:13 install gzip:amd64 <none> 1.10-4
2022-03-06 04:29:13 status half-installed gzip:amd64 1.10-4
2022-03-06 04:29:13 status unpacked gzip:amd64 1.10-4
2022-03-06 04:29:13 install hostname:amd64 <none> 3.23
2022-03-06 04:29:13 status half-installed hostname:amd64 3.23
2022-03-06 04:29:13 status unpacked hostname:amd64 3.23
2022-03-06 04:29:13 install init-system-helpers:all <none> 1.60
2022-03-06 04:29:13 status half-installed init-system-helpers:all 1.60
2022-03-06 04:29:13 status unpacked init-system-helpers:all 1.60
2022-03-06 04:29:13 install libkeyutils1:amd64 <none> 1.6.1-2
2022-03-06 04:29:13 status half-installed libkeyutils1:amd64 1.6.1-2
2022-03-06 04:29:13 status unpacked libkeyutils1:amd64 1.6.1-2
2022-03-06 04:29:13 install libgssapi-krb5-2:amd64 <none> 1.18.3-6+deb11u1
2022-03-06 04:29:13 status half-installed libgssapi-krb5-2:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 status unpacked libgssapi-krb5-2:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 install libk5crypto3:amd64 <none> 1.18.3-6+deb11u1
2022-03-06 04:29:13 status half-installed libk5crypto3:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 status unpacked libk5crypto3:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 install libkrb5-3:amd64 <none> 1.18.3-6+deb11u1
2022-03-06 04:29:13 status half-installed libkrb5-3:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 status unpacked libkrb5-3:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 install libkrb5support0:amd64 <none> 1.18.3-6+deb11u1
2022-03-06 04:29:13 status half-installed libkrb5support0:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 status unpacked libkrb5support0:amd64 1.18.3-6+deb11u1
2022-03-06 04:29:13 install libcap-ng0:amd64 <none> 0.7.9-2.2+b1
2022-03-06 04:29:13 status half-installed libcap-ng0:amd64 0.7.9-2.2+b1
2022-03-06 04:29:13 status unpacked libcap-ng0:amd64 0.7.9-2.2+b1
2022-03-06 04:29:13 install libffi7:amd64 <none> 3.3-6
2022-03-06 04:29:13 status half-installed libffi7:amd64 3.3-6
2022-03-06 04:29:13 status unpacked libffi7:amd64 3.3-6
2022-03-06 04:29:13 install libgcrypt20:amd64 <none> 1.8.7-6
2022-03-06 04:29:13 status half-installed libgcrypt20:amd64 1.8.7-6
2022-03-06 04:29:13 status unpacked libgcrypt20:amd64 1.8.7-6
2022-03-06 04:29:13 install libgpg-error0:amd64 <none> 1.38-2
2022-03-06 04:29:13 status half-installed libgpg-error0:amd64 1.38-2
2022-03-06 04:29:13 status unpacked libgpg-error0:amd64 1.38-2
2022-03-06 04:29:13 install libidn2-0:amd64 <none> 2.3.0-5
2022-03-06 04:29:13 status half-installed libidn2-0:amd64 2.3.0-5
2022-03-06 04:29:13 status unpacked libidn2-0:amd64 2.3.0-5
2022-03-06 04:29:13 install libnsl2:amd64 <none> 1.3.0-2
2022-03-06 04:29:13 status half-installed libnsl2:amd64 1.3.0-2
2022-03-06 04:29:13 status unpacked libnsl2:amd64 1.3.0-2
2022-03-06 04:29:13 install libseccomp2:amd64 <none> 2.5.1-1+deb11u1
2022-03-06 04:29:13 status half-installed libseccomp2:amd64 2.5.1-1+deb11u1
2022-03-06 04:29:13 status unpacked libseccomp2:amd64 2.5.1-1+deb11u1
2022-03-06 04:29:13 install libselinux1:amd64 <none> 3.1-3
2022-03-06 04:29:13 status half-installed libselinux1:amd64 3.1-3
2022-03-06 04:29:13 status unpacked libselinux1:amd64 3.1-3
2022-03-06 04:29:13 install libsemanage-common:all <none> 3.1-1
2022-03-06 04:29:13 status half-installed libsemanage-common:all 3.1-1
2022-03-06 04:29:13 status unpacked libsemanage-common:all 3.1-1
2022-03-06 04:29:13 install libsemanage1:amd64 <none> 3.1-1+b2
2022-03-06 04:29:13 status half-installed libsemanage1:amd64 3.1-1+b2
2022-03-06 04:29:13 status unpacked libsemanage1:amd64 3.1-1+b2
2022-03-06 04:29:13 install libsepol1:amd64 <none> 3.1-1
2022-03-06 04:29:13 status half-installed libsepol1:amd64 3.1-1
2022-03-06 04:29:13 status unpacked libsepol1:amd64 3.1-1
2022-03-06 04:29:13 install libtasn1-6:amd64 <none> 4.16.0-2
2022-03-06 04:29:13 status half-installed libtasn1-6:amd64 4.16.0-2
2022-03-06 04:29:13 status unpacked libtasn1-6:amd64 4.16.0-2
2022-03-06 04:29:13 install libtirpc-common:all <none> 1.3.1-1
2022-03-06 04:29:13 status half-installed libtirpc-common:all 1.3.1-1
2022-03-06 04:29:13 status unpacked libtirpc-common:all 1.3.1-1
2022-03-06 04:29:13 install libtirpc3:amd64 <none> 1.3.1-1
2022-03-06 04:29:13 status half-installed libtirpc3:amd64 1.3.1-1
2022-03-06 04:29:14 status unpacked libtirpc3:amd64 1.3.1-1
2022-03-06 04:29:14 install libunistring2:amd64 <none> 0.9.10-4
2022-03-06 04:29:14 status half-installed libunistring2:amd64 0.9.10-4
2022-03-06 04:29:14 status unpacked libunistring2:amd64 0.9.10-4
2022-03-06 04:29:14 install libcrypt1:amd64 <none> 1:4.4.18-4
2022-03-06 04:29:14 status half-installed libcrypt1:amd64 1:4.4.18-4
2022-03-06 04:29:14 status unpacked libcrypt1:amd64 1:4.4.18-4
2022-03-06 04:29:14 install libzstd1:amd64 <none> 1.4.8+dfsg-2.1
2022-03-06 04:29:14 status half-installed libzstd1:amd64 1.4.8+dfsg-2.1
2022-03-06 04:29:14 status unpacked libzstd1:amd64 1.4.8+dfsg-2.1
2022-03-06 04:29:14 install lsb-base:all <none> 11.1.0
2022-03-06 04:29:14 status half-installed lsb-base:all 11.1.0
2022-03-06 04:29:14 status unpacked lsb-base:all 11.1.0
2022-03-06 04:29:14 install liblz4-1:amd64 <none> 1.9.3-2
2022-03-06 04:29:14 status half-installed liblz4-1:amd64 1.9.3-2
2022-03-06 04:29:14 status unpacked liblz4-1:amd64 1.9.3-2
2022-03-06 04:29:14 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2022-03-06 04:29:14 status half-configured mawk:amd64 1.3.4.20200120-2
2022-03-06 04:29:14 status unpacked mawk:amd64 1.3.4.20200120-2
2022-03-06 04:29:14 status half-installed mawk:amd64 1.3.4.20200120-2
2022-03-06 04:29:14 status unpacked mawk:amd64 1.3.4.20200120-2
2022-03-06 04:29:14 install libtinfo6:amd64 <none> 6.2+20201114-2
2022-03-06 04:29:14 status half-installed libtinfo6:amd64 6.2+20201114-2
2022-03-06 04:29:14 status unpacked libtinfo6:amd64 6.2+20201114-2
2022-03-06 04:29:14 install ncurses-base:all <none> 6.2+20201114-2
2022-03-06 04:29:14 status half-installed ncurses-base:all 6.2+20201114-2
2022-03-06 04:29:14 status unpacked ncurses-base:all 6.2+20201114-2
2022-03-06 04:29:14 install ncurses-bin:amd64 <none> 6.2+20201114-2
2022-03-06 04:29:14 status half-installed ncurses-bin:amd64 6.2+20201114-2
2022-03-06 04:29:14 status unpacked ncurses-bin:amd64 6.2+20201114-2
2022-03-06 04:29:14 install libhogweed6:amd64 <none> 3.7.3-1
2022-03-06 04:29:14 status half-installed libhogweed6:amd64 3.7.3-1
2022-03-06 04:29:14 status unpacked libhogweed6:amd64 3.7.3-1
2022-03-06 04:29:14 install libnettle8:amd64 <none> 3.7.3-1
2022-03-06 04:29:14 status half-installed libnettle8:amd64 3.7.3-1
2022-03-06 04:29:14 status unpacked libnettle8:amd64 3.7.3-1
2022-03-06 04:29:14 install libssl1.1:amd64 <none> 1.1.1k-1+deb11u1
2022-03-06 04:29:14 status half-installed libssl1.1:amd64 1.1.1k-1+deb11u1
2022-03-06 04:29:14 status unpacked libssl1.1:amd64 1.1.1k-1+deb11u1
2022-03-06 04:29:14 install libp11-kit0:amd64 <none> 0.23.22-1
2022-03-06 04:29:14 status half-installed libp11-kit0:amd64 0.23.22-1
2022-03-06 04:29:14 status unpacked libp11-kit0:amd64 0.23.22-1
2022-03-06 04:29:14 install libpam-modules:amd64 <none> 1.4.0-9+deb11u1
2022-03-06 04:29:14 status half-installed libpam-modules:amd64 1.4.0-9+deb11u1
2022-03-06 04:29:14 status unpacked libpam-modules:amd64 1.4.0-9+deb11u1
2022-03-06 04:29:14 install libpam-modules-bin:amd64 <none> 1.4.0-9+deb11u1
2022-03-06 04:29:14 status half-installed libpam-modules-bin:amd64 1.4.0-9+deb11u1
2022-03-06 04:29:14 status unpacked libpam-modules-bin:amd64 1.4.0-9+deb11u1
2022-03-06 04:29:14 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2022-03-06 04:29:14 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2022-03-06 04:29:14 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2022-03-06 04:29:14 install libpam0g:amd64 <none> 1.4.0-9+deb11u1
2022-03-06 04:29:14 status half-installed libpam0g:amd64 1.4.0-9+deb11u1
2022-03-06 04:29:15 status unpacked libpam0g:amd64 1.4.0-9+deb11u1
2022-03-06 04:29:15 install libpcre2-8-0:amd64 <none> 10.36-2
2022-03-06 04:29:15 status half-installed libpcre2-8-0:amd64 10.36-2
2022-03-06 04:29:15 status unpacked libpcre2-8-0:amd64 10.36-2
2022-03-06 04:29:15 install libpcre3:amd64 <none> 2:8.39-13
2022-03-06 04:29:15 status half-installed libpcre3:amd64 2:8.39-13
2022-03-06 04:29:15 status unpacked libpcre3:amd64 2:8.39-13
2022-03-06 04:29:15 upgrade perl-base:amd64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2022-03-06 04:29:15 status half-configured perl-base:amd64 5.32.1-4+deb11u2
2022-03-06 04:29:15 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2022-03-06 04:29:15 status half-installed perl-base:amd64 5.32.1-4+deb11u2
2022-03-06 04:29:15 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2022-03-06 04:29:15 install sed:amd64 <none> 4.7-1
2022-03-06 04:29:15 status half-installed sed:amd64 4.7-1
2022-03-06 04:29:15 status unpacked sed:amd64 4.7-1
2022-03-06 04:29:15 install login:amd64 <none> 1:4.8.1-1
2022-03-06 04:29:15 status half-installed login:amd64 1:4.8.1-1
2022-03-06 04:29:15 status unpacked login:amd64 1:4.8.1-1
2022-03-06 04:29:15 install passwd:amd64 <none> 1:4.8.1-1
2022-03-06 04:29:15 status half-installed passwd:amd64 1:4.8.1-1
2022-03-06 04:29:15 status unpacked passwd:amd64 1:4.8.1-1
2022-03-06 04:29:15 install libsystemd0:amd64 <none> 247.3-6
2022-03-06 04:29:15 status half-installed libsystemd0:amd64 247.3-6
2022-03-06 04:29:15 status unpacked libsystemd0:amd64 247.3-6
2022-03-06 04:29:15 install libudev1:amd64 <none> 247.3-6
2022-03-06 04:29:15 status half-installed libudev1:amd64 247.3-6
2022-03-06 04:29:15 status unpacked libudev1:amd64 247.3-6
2022-03-06 04:29:15 install sysvinit-utils:amd64 <none> 2.96-7
2022-03-06 04:29:15 status half-installed sysvinit-utils:amd64 2.96-7
2022-03-06 04:29:15 status unpacked sysvinit-utils:amd64 2.96-7
2022-03-06 04:29:15 install tar:amd64 <none> 1.34+dfsg-1
2022-03-06 04:29:15 status half-installed tar:amd64 1.34+dfsg-1
2022-03-06 04:29:16 status unpacked tar:amd64 1.34+dfsg-1
2022-03-06 04:29:16 install tzdata:all <none> 2021a-1+deb11u2
2022-03-06 04:29:16 status half-installed tzdata:all 2021a-1+deb11u2
2022-03-06 04:29:16 status unpacked tzdata:all 2021a-1+deb11u2
2022-03-06 04:29:16 install bsdutils:amd64 <none> 1:2.36.1-8
2022-03-06 04:29:16 status half-installed bsdutils:amd64 1:2.36.1-8
2022-03-06 04:29:16 status unpacked bsdutils:amd64 1:2.36.1-8
2022-03-06 04:29:16 install libblkid1:amd64 <none> 2.36.1-8
2022-03-06 04:29:16 status half-installed libblkid1:amd64 2.36.1-8
2022-03-06 04:29:16 status unpacked libblkid1:amd64 2.36.1-8
2022-03-06 04:29:16 install libmount1:amd64 <none> 2.36.1-8
2022-03-06 04:29:16 status half-installed libmount1:amd64 2.36.1-8
2022-03-06 04:29:16 status unpacked libmount1:amd64 2.36.1-8
2022-03-06 04:29:16 install libsmartcols1:amd64 <none> 2.36.1-8
2022-03-06 04:29:16 status half-installed libsmartcols1:amd64 2.36.1-8
2022-03-06 04:29:16 status unpacked libsmartcols1:amd64 2.36.1-8
2022-03-06 04:29:16 install libuuid1:amd64 <none> 2.36.1-8
2022-03-06 04:29:16 status half-installed libuuid1:amd64 2.36.1-8
2022-03-06 04:29:16 status unpacked libuuid1:amd64 2.36.1-8
2022-03-06 04:29:16 install mount:amd64 <none> 2.36.1-8
2022-03-06 04:29:16 status half-installed mount:amd64 2.36.1-8
2022-03-06 04:29:16 status unpacked mount:amd64 2.36.1-8
2022-03-06 04:29:16 install util-linux:amd64 <none> 2.36.1-8
2022-03-06 04:29:16 status half-installed util-linux:amd64 2.36.1-8
2022-03-06 04:29:16 status unpacked util-linux:amd64 2.36.1-8
2022-03-06 04:29:16 install libxxhash0:amd64 <none> 0.8.0-2
2022-03-06 04:29:16 status half-installed libxxhash0:amd64 0.8.0-2
2022-03-06 04:29:16 status unpacked libxxhash0:amd64 0.8.0-2
2022-03-06 04:29:16 install liblzma5:amd64 <none> 5.2.5-2
2022-03-06 04:29:16 status half-installed liblzma5:amd64 5.2.5-2
2022-03-06 04:29:16 status unpacked liblzma5:amd64 5.2.5-2
2022-03-06 04:29:16 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2
2022-03-06 04:29:16 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2
2022-03-06 04:29:16 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2
2022-03-06 04:29:17 startup packages configure
2022-03-06 04:29:17 configure lsb-base:all 11.1.0 <none>
2022-03-06 04:29:17 status unpacked lsb-base:all 11.1.0
2022-03-06 04:29:17 status half-configured lsb-base:all 11.1.0
2022-03-06 04:29:17 status installed lsb-base:all 11.1.0
2022-03-06 04:29:17 configure libtirpc-common:all 1.3.1-1 <none>
2022-03-06 04:29:17 status unpacked libtirpc-common:all 1.3.1-1
2022-03-06 04:29:17 status half-configured libtirpc-common:all 1.3.1-1
2022-03-06 04:29:17 status installed libtirpc-common:all 1.3.1-1
2022-03-06 04:29:17 configure debian-archive-keyring:all 2021.1.1 <none>
2022-03-06 04:29:17 status unpacked debian-archive-keyring:all 2021.1.1
2022-03-06 04:29:17 status half-configured debian-archive-keyring:all 2021.1.1
2022-03-06 04:29:17 status installed debian-archive-keyring:all 2021.1.1
2022-03-06 04:29:17 configure libaudit-common:all 1:3.0-2 <none>
2022-03-06 04:29:17 status unpacked libaudit-common:all 1:3.0-2
2022-03-06 04:29:17 status half-configured libaudit-common:all 1:3.0-2
2022-03-06 04:29:17 status installed libaudit-common:all 1:3.0-2
2022-03-06 04:29:17 configure libsemanage-common:all 3.1-1 <none>
2022-03-06 04:29:17 status unpacked libsemanage-common:all 3.1-1
2022-03-06 04:29:17 status half-configured libsemanage-common:all 3.1-1
2022-03-06 04:29:17 status installed libsemanage-common:all 3.1-1
2022-03-06 04:29:17 configure gcc-10-base:amd64 10.2.1-6 <none>
2022-03-06 04:29:17 status unpacked gcc-10-base:amd64 10.2.1-6
2022-03-06 04:29:17 status half-configured gcc-10-base:amd64 10.2.1-6
2022-03-06 04:29:17 status installed gcc-10-base:amd64 10.2.1-6
2022-03-06 04:29:17 configure ncurses-base:all 6.2+20201114-2 <none>
2022-03-06 04:29:17 status unpacked ncurses-base:all 6.2+20201114-2
2022-03-06 04:29:17 status half-configured ncurses-base:all 6.2+20201114-2
2022-03-06 04:29:17 status installed ncurses-base:all 6.2+20201114-2
